(50000L, 784L)
compiled score function
garray(144.1488494873047)
Compiled loss functions
0 0.0 144.935302734
1 0.0 144.837036133
2 0.0 144.78477478
3 0.0 144.675247192
4 0.0 144.479415894
5 0.0 144.399368286
6 0.0 144.186950684
7 0.0 144.364852905
8 0.0 144.106567383
9 0.0 144.125640869
10 0.0 144.28527832
11 0.0 143.999694824
12 0.0 143.95211792
13 0.0 143.99659729
14 0.0 144.062561035
15 0.0 143.93359375
16 0.0 143.788040161
17 0.0 143.697540283
18 0.0 143.702301025
19 0.0 143.822860718
20 0.0 143.547943115
21 0.0 143.759338379
22 0.0 143.690002441
23 0.0 143.674972534
24 0.0 143.698150635
25 0.0 143.727127075
26 0.0 143.510360718
27 0.0 143.523452759
28 0.0 143.492950439
29 0.0 143.581497192
30 0.0 143.403823853
31 0.0 143.618865967
32 0.0 143.447769165
33 0.0 143.556472778
34 0.0 143.388412476
35 0.0 143.328033447
36 0.0 143.882369995
37 0.0 143.331130981
38 0.0 143.558227539
39 0.0 143.321563721
40 0.0 143.54057312
41 0.0 143.36630249
42 0.0 143.36529541
43 0.0 143.37437439
44 0.0 143.388702393
45 0.0 143.205657959
46 0.0 143.205154419
47 0.0 143.363647461
48 0.0 143.471359253
49 0.0 143.322479248
50 0.0 143.548629761
51 0.0 143.167404175
52 0.0 143.308486938
53 0.0 143.211547852
54 0.0 143.164855957
55 0.0 143.30065918
56 0.0 143.284301758
57 0.0 143.185668945
58 0.0 143.431930542
59 0.0 143.098800659
60 0.0 143.076568604
61 0.0 143.238220215
62 0.0 143.213027954
63 0.0 143.074111938
64 0.0 142.990707397
65 0.0 143.255828857
66 0.0 143.089477539
67 0.0 143.273925781
68 0.0 143.200775146
69 0.0 142.937835693
70 0.0 143.191467285
71 0.0 143.105514526
72 0.0 142.958084106
73 0.0 143.02305603
74 0.0 142.872451782
75 0.0 143.156997681
76 0.0 142.907287598
77 0.0 142.933502197
78 0.0 143.140457153
79 0.0 143.082901001
80 0.0 142.862716675
81 0.0 142.939849854
82 0.0 142.892333984
83 0.0 143.016677856
84 0.0 142.905334473
85 0.0 142.859817505
86 0.0 142.857513428
87 0.0 142.839065552
88 0.0 142.765823364
89 0.0 142.791900635
90 0.0 143.061218262
91 0.0 142.719589233
92 0.0 142.897232056
93 0.0 142.765441895
94 0.0 142.800354004
95 0.0 142.900253296
96 0.0 142.884552002
97 0.0 142.785888672
98 0.0 142.990814209
99 0.0 142.924224854
100 0.0 142.661193848
101 0.0 142.688903809
102 0.0 142.915679932
103 0.0 142.796127319
104 0.0 142.651382446
105 0.0 142.802520752
106 0.0 142.800170898
107 0.0 142.635910034
108 0.0 142.801345825
109 0.0 142.873123169
110 0.0 142.675186157
111 0.0 142.692047119
112 0.0 142.736968994
113 0.0 142.429718018
114 0.0 142.751968384
